Galaxy,Mobs_1265
UDS002893_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_002_2,-21.484156918511882
UDS019988_P1M1Q2_P1M2Q2_P2M1Q1_P3M2Q2_001_1,-20.45551135591853
UDS002133_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_002_1,-20.388585347289716
CDFS108676_P1M1Q4_P1M4Q4_P2M1Q4_P2M4Q4_001_1,-21.267283856049886
UDS148005_P4M2Q3_P4M3Q3_017_1,-21.581613940116153
CDFS004717_P1M1Q3_P1M2Q3_P2M1Q3_P2M4Q3_001_1,-21.226937642094622
CDFS131717_P1M4Q1_024_1,-21.646800682642358
CDFS137347_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_015_2,-21.168131737350816
CDFS224952_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_003_1,-20.843004129522054
CDFS122764_P2M3Q1_P2M4Q1_015_2,-21.86235581910241
CDFS132115_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_003_1,-21.056141675137535
UDS148558_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_017_1,-21.11371095730134
CDFS115673_P2M3Q3_P2M1Q3_P4M4Q3_P2M2Q3_P4M3Q3_P2M4Q3_001_1,-20.38001955170069
UDS020437_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_007_1,-21.36964368339121
CDFS023170_P1M3Q1_P1M4Q1_013_2,-21.63407852895537
UDS022130_P2M3Q1_P4M4Q1_P2M2Q1_P4M2Q1_P2M1Q1_P4M3Q1_P2M4Q1_001_2,-20.583990994872263
