Galaxy,OutputAll0,DirAll0,x2All0,outAll0,OutputAll1,DirAll1,x2All1,outAll1,OutputAll2,DirAll2,x2All2,outAll2,OutputAll3,DirAll3,x2All3,outAll3,OutputAll4,DirAll4,x2All4,outAll4,OutputAll5,DirAll5,x2All5,outAll5,OutputAll6,DirAll6,x2All6,outAll6,OutputAll7,DirAll7,x2All7,outAll7,OutputAll8,DirAll8,x2All8,outAll8,OutputAll9,DirAll9,x2All9,outAll9
CDFS000814_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,152,196,1.043658807507499,-11.0,99,10,1.043817445096763,-15.0,104,164,1.1110064548454028,-8.0,158,243,1.1424879782783226,-12.0,101,154,1.1568739346826737,-11.0,99,160,1.1644950736478994,-12.0,103,285,1.1744414700452515,-14.0,101,297,1.1891254071834543,-15.0,104,223,1.1932536235363143,-8.0,158,223,1.1950268419101213,-17.0
UDS378854_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_002_1,99,197,2.4644121609337026,-8.0,99,78,2.6099367320523283,-12.0,100,98,2.6736718347561244,-9.0,100,138,2.8033662869173837,-7.0,99,177,2.908437608546642,-7.0,164,118,2.957576029819865,-4.0,163,97,2.9637940700726277,-5.0,102,37,3.0561192704327453,-9.0,162,183,3.0712086009294937,-6.0,164,97,3.083120124990674,-6.0
CDFS128455_P1M3Q2_P1M4Q2_014_1,100,98,0.5890498252161376,-2.0,99,78,0.6523086304359689,-4.0,100,138,0.6990226513431317,0.0,100,118,0.7515456680021674,-1.0,99,197,0.7611529027643493,0.0,98,195,0.7673275406853903,1.0,99,177,0.7738799559836737,0.0,95,118,0.7963701336151827,0.0,98,175,0.8010072162377562,0.0,100,185,0.805574391041255,6.0
CDFS105360_P3M2Q4_031_2,99,56,1.7645951107966207,2.0,99,75,2.220685619670143,8.0,152,253,2.265163798370921,-1.0,152,208,2.26886777390049,1.0,149,23,2.2707679537838916,2.0,161,220,2.2742328142370245,4.0,161,184,2.278343473693426,0.0,101,204,2.284382877708495,3.0,152,209,2.2931479288743644,2.0,153,74,2.3327269830777273,3.0
CDFS129134_P4M1Q2_P4M2Q2_P1M1Q2_P1M4Q2_001_1,152,283,0.8906208520398672,-14.0,152,282,0.9443458759147755,-14.0,152,284,0.9661019788654555,-14.0,160,4,0.9680346439727536,-12.0,99,243,0.9707734269772943,-14.0,145,298,0.9829795172242004,-12.0,160,26,0.9993634015940254,-10.0,158,14,1.0034522690734178,-13.0,99,36,1.0094292907221474,-13.0,160,25,1.0148458900995672,-12.0
UDS295074_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_014_1,99,54,1.013082723009894,1.0,102,244,1.0134031866875755,2.0,100,35,1.0625198951870365,1.0,102,225,1.066436644163276,-1.0,100,34,1.1279625387939685,0.0,93,94,1.1468403642973803,1.0,100,36,1.1521953203157873,-1.0,99,204,1.1695527202024112,0.0,100,200,1.1865951371624004,-2.0,100,224,1.194190125802411,0.0
CDFS101861_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_014_1,103,285,1.135093042967946,10.0,148,60,1.1515699787056757,7.0,152,196,1.2451421137666765,12.0,109,191,1.2671875559009682,10.0,149,148,1.2888082264306233,6.0,148,157,1.293615711450216,14.0,143,120,1.325568865439279,6.0,99,10,1.3290742016080224,8.0,99,157,1.359683719489678,4.0,158,224,1.361562293911395,7.0
UDS027014_P3M1Q1_P3M2Q1_009_1,152,253,1.201918968176267,-6.0,161,124,1.2238028615455208,-3.0,99,129,1.3065909044034714,-3.0,158,243,1.5147185403709205,-12.0,148,157,1.5378941636575056,-8.0,104,145,1.597441051238767,-1.0,100,221,1.5991323523494156,-4.0,100,202,1.6216900045531668,-2.0,152,252,1.673110429998889,-7.0,99,56,1.674221375059675,-8.0
UDS143762_P4M1Q4_033_1,148,200,0.2761480782728385,5.0,149,97,0.2907709068743067,3.0,148,220,0.2950056537692558,7.0,101,164,0.30938184383640704,1.0,99,10,0.3122478903487605,1.0,145,0,0.31508089304074754,-1.0,149,199,0.31606714660435986,6.0,103,247,0.3181572360933971,5.0,149,117,0.322362079329952,4.0,148,61,0.3297399004079829,1.0
UDS021975_P2M1Q2_P2M2Q2_P2M3Q2_P2M4Q2_014_1,148,220,1.6545091156111214,-18.0,145,16,1.756650904634185,-22.0,149,97,1.7982248611858638,-22.0,145,0,1.8006689986710507,-23.0,145,13,1.812380219935572,-25.0,99,10,1.831610573361665,-24.0,145,5,1.880904697738777,-25.0,148,200,1.8839723484130653,-20.0,158,243,1.8982114183118435,-22.0,151,23,1.9001974114201872,-29.0
