# idx ew_lya ew_lya_err fesc_lya fesc_lya_err_l fesc_lya_err_u
sc_UDS002059_P3M1Q4_P3M2Q4_004_1.fits 4.85 1.78 0.025358750799372838 0.04189397800049138 0.028075374659251782
sc_UDS002072_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_002_3.fits 3.24 2.9 0.010961294023068988 0.003998336504474634 0.009566251015371955
sc_UDS002789_P3M1Q3_012_2.fits 23.48 5.68 0.05398951958191474 0.017078694053099155 0.03164789773927787
sc_UDS003586_P4M1Q3_P2M2Q3_001_1.fits 47.18 5.67 0.14847060648853136 0.05163084272390492 0.1178831024384252
sc_UDS004308_P4M1Q4_006_1.fits 44.1 5.64 0.4578220590644581 0.19379736210203652 0.6075688963988303
sc_UDS004734_P1M4Q4_010_1.fits 19.92 3.9 0.1909230908798093 0.08312499402885665 0.2406290444407284
sc_UDS005139_P1M2Q4_011_6.fits 54.46 7.55 0.10941561055012776 0.022501296126675965 0.031730577968005075
sc_UDS005487_P1M2Q3_P1M3Q3_015_1.fits 67.8 7.3 0.8768740454601257 0.38526603374441043 1.1337013508965204
sc_UDS008449_P4M3Q4_P4M2Q4_006_1.fits 28.16 1.78 0.2188830814305031 0.32032718272517163 0.2031222687153877
sc_UDS012992_P2M1Q2_043_2.fits 38.94 3.04 0.4442900740574534 0.19071744715713282 0.6025222234416568
sc_UDS013664_P2M1Q1_P2M2Q1_P2M4Q1_007_1.fits 22.7 1.96 0.16712425230878716 0.07225578516587242 0.22394933065287803
sc_UDS014492_P3M3Q2_P3M2Q2_003_1.fits 21.73 2.89 0.027936413850592794 0.010239441745173744 0.027780969730093318
sc_UDS014627_P2M1Q2_P2M2Q2_P2M3Q2_P2M4Q2_005_2.fits 12.24 4.41 0.06248267948396699 0.10211261635586102 0.0697659595302957
sc_UDS015658_P2M4Q1_P3M1Q2_009_1.fits 12.12 2.45 0.046752844961077226 0.020063563126179487 0.06106341791625544
sc_UDS016226_P2M2Q1_023_2.fits 11.51 2.19 0.4575823164680227 0.273484398733063 0.1688763980720659
sc_UDS017139_P2M2Q1_P2M3Q1_020_1.fits 1.5 4.24 0.003636780137843491 0.00530360087197755 0.0035139158402994683
sc_UDS018872_P4M3Q1_P1M4Q2_P2M4Q1_001_2.fits 20.83 2.25 0.13694632293968073 0.03812364126033441 0.065197601219119
sc_UDS019365_P2M2Q2_P2M3Q2_008_1.fits 3.15 4.78 0.010913026694039997 0.004616610795089716 0.013642371525532113
sc_UDS019467_P4M4Q2_P4M1Q2_P4M2Q2_P2M2Q2_P2M1Q2_001_1.fits 23.98 2.64 0.20009701692762297 0.08703394393496025 0.2623470609851127
sc_UDS020353_P3M2Q1_045_1.fits 63.37 12.2 1.2800318986729284 2.111405142126518 1.5815751652861243
sc_UDS020681_P4M2Q2_P4M3Q2_001_2.fits 23.19 3.1 0.20764181008732385 0.08095732424511848 0.2146747614658886
sc_UDS021234_P2M2Q1_P2M4Q1_010_1.fits 160.5 13.08 0.1615832491600083 0.0440861611589559 0.07479993006137955
sc_UDS022237_P4M2Q2_P2M2Q2_001_2.fits 44.67 2.82 0.47381141576230074 0.2000425762236521 0.5968270717382119
sc_UDS023226_P2M1Q2_P2M2Q2_031_2.fits 1.28 6.57 0.00011661725939977172 4.1082870878248365e-05 9.353091139254156e-05
